fecha,Kind,Number,variable
2017-06-04,Observed,22.0,calls
2017-06-05,Observed,30.0,calls
2017-06-06,Observed,32.0,calls
2017-06-07,Observed,16.0,calls
2017-06-08,Observed,25.0,calls
2017-06-09,Observed,21.0,calls
2017-06-10,Observed,28.0,calls
2017-06-11,Observed,24.0,calls
2017-06-12,Observed,21.0,calls
2017-06-13,Observed,32.0,calls
2017-06-14,Observed,27.0,calls
2017-06-15,Observed,20.0,calls
2017-06-16,Observed,19.0,calls
2017-06-17,Observed,24.0,calls
2017-06-18,Observed,22.0,calls
2017-06-19,Observed,32.0,calls
2017-06-20,Observed,23.0,calls
2017-06-21,Observed,32.0,calls
2017-06-22,Observed,22.0,calls
2017-06-23,Observed,24.0,calls
2017-06-24,Observed,27.0,calls
2017-06-25,Observed,26.0,calls
2017-06-26,Observed,35.0,calls
2017-06-27,Observed,33.0,calls
2017-06-28,Observed,40.0,calls
2017-06-29,Observed,21.0,calls
2017-06-30,Observed,30.0,calls
2017-07-01,Observed,31.0,calls
2017-07-02,Observed,15.0,calls
2017-07-03,Observed,31.0,calls
2017-07-04,Observed,32.0,calls
2017-07-05,Observed,29.0,calls
2017-07-06,Observed,26.0,calls
2017-07-07,Observed,22.0,calls
2017-07-08,Observed,20.0,calls
2017-07-09,Observed,20.0,calls
2017-07-10,Observed,33.0,calls
2017-07-11,Observed,21.0,calls
2017-07-12,Observed,26.0,calls
2017-07-13,Observed,25.0,calls
2017-07-14,Observed,27.0,calls
2017-07-15,Observed,26.0,calls
2017-07-16,Observed,24.0,calls
2017-07-17,Observed,31.0,calls
2017-07-18,Observed,32.0,calls
2017-07-19,Observed,26.0,calls
2017-07-20,Observed,13.0,calls
2017-07-21,Observed,19.0,calls
2017-07-22,Observed,27.0,calls
2017-07-23,Observed,24.0,calls
2017-07-24,Observed,32.0,calls
2017-07-25,Observed,17.0,calls
2017-07-26,Observed,24.0,calls
2017-07-27,Observed,18.0,calls
2017-07-28,Observed,25.0,calls
2017-07-29,Observed,26.0,calls
2017-07-30,Observed,19.0,calls
2017-07-31,Observed,22.0,calls
2017-08-01,Observed,22.0,calls
2017-08-02,Observed,22.0,calls
2017-08-03,Observed,12.0,calls
2017-08-04,Observed,25.0,calls
2017-08-05,Observed,21.0,calls
2017-08-06,Observed,23.0,calls
2017-08-07,Observed,21.0,calls
2017-08-08,Observed,22.0,calls
2017-08-09,Observed,19.0,calls
2017-08-10,Observed,16.0,calls
2017-08-11,Observed,22.0,calls
2017-08-12,Observed,14.0,calls
2017-08-13,Observed,18.0,calls
2017-08-14,Observed,23.0,calls
2017-08-15,Observed,16.0,calls
2017-08-16,Observed,23.0,calls
2017-08-17,Observed,29.0,calls
2017-08-18,Observed,27.0,calls
2017-08-19,Observed,20.0,calls
2017-08-20,Observed,17.0,calls
2017-08-21,Observed,22.0,calls
2017-08-22,Observed,32.0,calls
2017-08-23,Observed,20.0,calls
2017-08-24,Observed,27.0,calls
2017-08-25,Observed,22.0,calls
2017-08-26,Observed,25.0,calls
2017-08-27,Observed,23.0,calls
2017-08-28,Observed,29.0,calls
2017-08-29,Observed,36.0,calls
2017-08-30,Observed,31.0,calls
2017-08-31,Observed,30.0,calls
2017-09-01,Observed,26.0,calls
2017-09-02,Observed,24.0,calls
2017-09-03,Observed,31.0,calls
2017-09-04,Observed,29.0,calls
2017-09-05,Observed,31.0,calls
2017-09-06,Observed,25.0,calls
2017-09-07,Observed,18.0,calls
2017-09-08,Observed,20.0,calls
2017-09-09,Observed,22.0,calls
2017-09-10,Observed,26.0,calls
2017-09-11,Observed,37.0,calls
2017-09-12,Observed,26.0,calls
2017-09-13,Observed,27.0,calls
2017-09-14,Observed,22.0,calls
2017-09-15,Observed,17.0,calls
2017-09-16,Observed,18.0,calls
2017-09-17,Observed,23.0,calls
2017-09-18,Observed,18.0,calls
2017-09-19,Observed,22.0,calls
2017-09-20,Observed,27.0,calls
2017-09-21,Observed,22.0,calls
2017-09-22,Observed,20.0,calls
2017-09-23,Observed,11.0,calls
2017-09-24,Observed,28.0,calls
2017-09-25,Observed,28.0,calls
2017-09-26,Observed,32.0,calls
2017-09-27,Observed,27.0,calls
2017-09-28,Observed,20.0,calls
2017-09-29,Observed,30.0,calls
2017-09-30,Observed,17.0,calls
2017-10-01,Observed,21.0,calls
2017-10-02,Observed,24.0,calls
2017-10-03,Observed,35.0,calls
2017-10-04,Observed,22.0,calls
2017-10-05,Observed,24.0,calls
2017-10-06,Observed,28.0,calls
2017-10-07,Observed,19.0,calls
2017-10-08,Observed,24.0,calls
2017-10-09,Observed,31.0,calls
2017-10-10,Observed,23.0,calls
2017-10-11,Observed,34.0,calls
2017-10-12,Observed,11.0,calls
2017-10-13,Observed,23.0,calls
2017-10-14,Observed,25.0,calls
2017-10-15,Observed,20.0,calls
2017-10-16,Observed,21.0,calls
2017-10-17,Observed,28.0,calls
2017-10-18,Observed,23.0,calls
2017-10-19,Observed,22.0,calls
